ID,MONTHS_BALANCE,STATUS
1000012,-7,1
1000012,-8,C
1000012,-9,C
1000012,-10,0
1000012,-11,C
1000012,-12,C
1000012,-13,X
1000012,-14,C
1000012,-15,1
1000012,-16,C
1000012,-17,C
1000012,-18,X
1000012,-19,X
1000012,-20,C
1000012,-21,C
1000013,0,0
1000013,-1,0
1000013,-2,C
1000013,-3,C
1000013,-4,X
1000013,-5,0
1000013,-6,C
1000013,-7,C
1000013,-8,X
1000013,-9,X
1000013,-10,1
1000013,-11,2
1000013,-12,C
1000013,-13,C
1000013,-14,0
1000013,-15,C
1000013,-16,C
1000013,-17,0
1000013,-18,X
1000013,-19,0
1000013,-20,C
1000013,-21,X
1000014,0,C
1000014,-1,C
1000014,-2,X
1000014,-3,X
1000014,-4,C
1000014,-5,C
1000014,-6,C
1000014,-7,C
1000014,-8,0
1000015,0,0
1000015,-1,0
1000015,-2,1
1000015,-3,0
1000015,-4,0
1000015,-5,C
1000015,-6,C
1000016,0,1
1000016,-1,1
1000016,-2,X
1000016,-3,0
1000016,-4,C
1000016,-5,C
1000016,-6,C
1000016,-7,X
1000016,-8,0
1000016,-9,2
1000016,-10,0
1000016,-11,0
1000016,-12,C
1000016,-13,C
1000016,-14,X
1000016,-15,0
1000016,-16,C
1000017,0,X
1000017,-1,0
1000017,-2,X
1000017,-3,X
1000017,-4,C
1000017,-5,0
1000017,-6,C
1000017,-7,1
1000017,-8,5
1000017,-9,X
1000017,-10,C
1000017,-11,0
1000017,-12,C
1000017,-13,2
1000017,-14,X
1000017,-15,0
1000018,0,C
1000018,-1,C
1000018,-2,C
1000018,-3,1
1000018,-4,C
1000018,-5,X
1000018,-6,C
1000018,-7,X
1000018,-8,C
1000018,-9,X
1000018,-10,1
1000018,-11,C
1000018,-12,C
1000018,-13,C
1000018,-14,C
1000018,-15,C
1000018,-16,X
1000018,-17,C
1000018,-18,X
1000018,-19,C
1000018,-20,0
1000019,0,C
1000019,-1,0
1000019,-2,C
1000019,-3,C
1000019,-4,C
1000019,-5,C
1000019,-6,0
1000019,-7,0
1000019,-8,X
1000019,-9,2
1000019,-10,C
1000019,-11,C
1000019,-12,2
1000019,-13,0
1000019,-14,X
1000019,-15,0
1000019,-16,C
1000019,-17,X
1000019,-18,X
1000019,-19,C
1000019,-20,1
1000019,-21,C
1000019,-22,C
1000019,-23,X
1000020,0,1
1000020,-1,C
1000020,-2,1
1000020,-3,C
1000020,-4,1
1000020,-5,X
1000020,-6,C
1000020,-7,5
1000020,-8,0
1000020,-9,X
1000020,-10,X
1000020,-11,C
1000020,-12,0
1000020,-13,X
1000020,-14,0
1000020,-15,X
1000020,-16,X
1000020,-17,C
1000020,-18,2
1000020,-19,0
1000020,-20,0
1000020,-21,0
1000020,-22,C
1000021,0,C
1000021,-1,C
1000021,-2,0
1000021,-3,X
1000021,-4,1
1000021,-5,1
1000021,-6,C
1000021,-7,X
1000021,-8,C
1000021,-9,0
1000021,-10,0
1000021,-11,C
1000021,-12,C
1000021,-13,X
1000021,-14,C
1000021,-15,X
1000021,-16,C
1000021,-17,X
1000021,-18,C
1000021,-19,0
1000022,0,0
1000022,-1,2
1000022,-2,X
1000022,-3,0
1000022,-4,0
1000022,-5,4
1000022,-6,X
1000022,-7,X
1000023,0,0
1000023,-1,X
1000023,-2,C
1000023,-3,X
1000023,-4,X
1000023,-5,C
1000023,-6,1
1000023,-7,C
1000023,-8,C
1000023,-9,X
1000023,-10,X
1000023,-11,X
1000024,0,0
1000024,-1,C
1000024,-2,1
1000024,-3,X
1000024,-4,X
1000024,-5,C
1000024,-6,C
1000024,-7,C
1000024,-8,0
1000024,-9,0
1000024,-10,X
1000025,0,C
1000025,-1,2
1000025,-2,X
1000025,-3,X
1000025,-4,X
1000025,-5,0
1000026,0,0
1000026,-1,1
1000026,-2,1
1000026,-3,C
1000026,-4,C
1000026,-5,1
1000026,-6,C
1000026,-7,0
1000026,-8,C
1000026,-9,X
1000026,-10,4
1000026,-11,0
1000026,-12,X
1000026,-13,0
1000026,-14,C
1000026,-15,4
1000026,-16,X
1000026,-17,5
1000026,-18,0
1000027,0,C
1000027,-1,5
1000027,-2,X
1000027,-3,C
1000027,-4,0
1000027,-5,0
1000027,-6,1
1000027,-7,C
1000027,-8,X
1000027,-9,X
1000027,-10,3
1000027,-11,X
1000027,-12,0
1000027,-13,C
1000027,-14,1
1000027,-15,C
1000027,-16,2
1000027,-17,0
1000027,-18,0
1000027,-19,1
1000027,-20,1
1000027,-21,1
1000027,-22,0
1000028,0,0
1000028,-1,1
1000028,-2,0
1000028,-3,C
1000028,-4,C
1000028,-5,1
1000028,-6,C
1000028,-7,X
1000028,-8,1
1000028,-9,C
1000028,-10,C
1000028,-11,C
1000028,-12,0
1000028,-13,4
1000028,-14,C
1000028,-15,C
1000028,-16,C
1000029,0,C
1000029,-1,C
1000029,-2,C
1000029,-3,C
1000029,-4,X
1000029,-5,0
1000029,-6,X
1000029,-7,0
1000029,-8,X
1000029,-9,C
1000029,-10,X
1000029,-11,X
1000029,-12,C
1000029,-13,X
1000029,-14,C
1000029,-15,2
1000030,0,5
1000030,-1,C
1000030,-2,X
1000030,-3,X
1000031,0,2
1000031,-1,0
1000031,-2,X
1000031,-3,X
1000031,-4,X
1000031,-5,X
1000031,-6,0
1000031,-7,2
1000031,-8,0
1000031,-9,C
1000031,-10,X
1000031,-11,C
1000031,-12,C
1000031,-13,X
1000031,-14,C
1000031,-15,3
1000031,-16,C
1000031,-17,4
1000031,-18,1
1000031,-19,C
1000031,-20,C
1000031,-21,X
1000031,-22,C
1000032,0,X
1000032,-1,0
1000032,-2,C
1000032,-3,1
1000032,-4,0
1000032,-5,C
1000032,-6,X
1000032,-7,X
1000032,-8,4
1000032,-9,X
1000032,-10,C
1000032,-11,0
1000032,-12,0
1000032,-13,0
1000032,-14,C
1000032,-15,C
1000032,-16,C
1000033,0,0
1000033,-1,C
1000033,-2,3
1000034,0,0
1000034,-1,C
1000034,-2,0
1000034,-3,0
1000034,-4,C
1000034,-5,X
1000034,-6,0
1000034,-7,C
1000035,0,C
1000035,-1,0
1000035,-2,C
1000035,-3,C
1000035,-4,C
1000035,-5,C
1000035,-6,C
1000035,-7,X
1000035,-8,1
1000035,-9,X
1000035,-10,C
1000035,-11,C
1000035,-12,X
1000035,-13,C
1000035,-14,C
1000035,-15,C
1000035,-16,3
1000035,-17,X
1000035,-18,X
1000035,-19,X
1000036,0,X
1000036,-1,1
1000036,-2,X
1000036,-3,2
1000036,-4,2
1000036,-5,C
1000036,-6,X
1000036,-7,1
1000036,-8,C
1000036,-9,C
1000036,-10,X
1000036,-11,5
1000036,-12,2
1000036,-13,0
1000036,-14,C
1000036,-15,0
1000036,-16,C
1000036,-17,0
1000036,-18,C
1000036,-19,0
1000036,-20,0
1000036,-21,0
1000036,-22,4
1000036,-23,C
1000037,0,0
1000037,-1,X
1000037,-2,1
1000037,-3,C
1000037,-4,C
1000037,-5,X
1000037,-6,C
1000037,-7,X
1000037,-8,C
1000037,-9,C
1000037,-10,1
1000037,-11,C
1000037,-12,0
1000038,0,0
1000038,-1,C
1000038,-2,X
1000038,-3,X
1000038,-4,C
1000038,-5,X
1000038,-6,1
1000038,-7,0
1000038,-8,X
1000038,-9,0
1000038,-10,4
1000038,-11,3
1000038,-12,C
1000039,0,0
1000039,-1,C
1000039,-2,C
1000039,-3,C
1000039,-4,X
1000039,-5,1
1000039,-6,X
1000039,-7,X
1000039,-8,C
1000039,-9,1
1000039,-10,C
1000039,-11,1
1000039,-12,X
1000039,-13,X
1000039,-14,X
1000039,-15,C
1000039,-16,0
1000040,0,0
1000040,-1,X
1000040,-2,C
1000040,-3,2
1000040,-4,1
1000040,-5,0
1000040,-6,0
1000040,-7,X
1000040,-8,5
1000040,-9,X
1000040,-10,C
1000041,0,0
1000041,-1,X
1000041,-2,C
1000041,-3,4
1000042,0,1
1000042,-1,C
1000042,-2,C
1000042,-3,X
1000042,-4,X
1000042,-5,C
1000042,-6,C
1000042,-7,0
1000043,0,1
1000043,-1,C
1000043,-2,C
1000044,0,C
1000044,-1,X
1000044,-2,C
1000045,0,C
1000045,-1,1
1000045,-2,3
1000045,-3,1
1000045,-4,2
1000045,-5,X
1000045,-6,X
1000045,-7,0
1000045,-8,C
1000045,-9,0
1000045,-10,X
1000045,-11,3
1000045,-12,X
1000046,0,X
1000046,-1,C
1000046,-2,C
1000046,-3,C
1000046,-4,C
1000047,0,5
1000047,-1,X
1000047,-2,X
1000047,-3,X
1000047,-4,C
1000047,-5,0
1000047,-6,4
1000047,-7,0
1000047,-8,C
1000047,-9,0
1000047,-10,X
1000047,-11,0
1000047,-12,5
1000047,-13,0
1000047,-14,C
1000047,-15,C
1000047,-16,X
1000047,-17,C
1000047,-18,X
1000047,-19,X
1000047,-20,1
1000047,-21,C
1000047,-22,X
1000048,0,0
1000048,-1,X
1000048,-2,0
1000048,-3,C
1000048,-4,0
1000048,-5,X
1000048,-6,1
1000048,-7,X
1000048,-8,0
1000049,0,X
1000049,-1,X
1000049,-2,X
1000049,-3,0
1000050,0,C
1000050,-1,X
1000050,-2,0
1000050,-3,0
1000050,-4,X
1000050,-5,0
1000050,-6,C
1000050,-7,C
1000050,-8,C
1000050,-9,X
1000050,-10,C
1000050,-11,C
1000050,-12,C
1000050,-13,X
1000051,0,X
1000051,-1,X
1000051,-2,X
1000051,-3,C
1000051,-4,C
1000051,-5,C
1000051,-6,C
1000051,-7,C
1000051,-8,X
1000051,-9,5
1000051,-10,0
1000051,-11,3
1000051,-12,0
1000051,-13,X
1000051,-14,0
1000052,0,X
1000052,-1,1
1000052,-2,0
1000052,-3,C
1000052,-4,0
1000052,-5,1
1000052,-6,0
1000052,-7,X
1000052,-8,C
1000052,-9,3
1000052,-10,X
1000052,-11,C
1000052,-12,2
1000052,-13,X
1000052,-14,C
1000052,-15,C
1000052,-16,4
1000053,0,X
1000053,-1,C
1000053,-2,C
1000053,-3,C
1000053,-4,X
1000053,-5,1
1000053,-6,0
1000053,-7,C
1000053,-8,2
1000053,-9,C
1000053,-10,X
1000053,-11,X
1000053,-12,1
1000053,-13,C
1000053,-14,C
1000053,-15,C
1000053,-16,C
1000053,-17,0
1000053,-18,C
1000054,0,0
1000054,-1,X
1000054,-2,0
1000054,-3,C
1000054,-4,C
1000054,-5,0
1000054,-6,C
1000054,-7,C
1000054,-8,C
1000054,-9,C
1000054,-10,X
1000055,0,C
1000055,-1,0
1000055,-2,C
1000056,0,C
1000056,-1,X
1000056,-2,C
1000056,-3,X
1000056,-4,0
1000056,-5,C
1000056,-6,C
1000056,-7,C
1000057,0,C
1000057,-1,X
1000057,-2,X
1000057,-3,X
1000057,-4,X
1000057,-5,0
1000057,-6,C
1000057,-7,C
1000057,-8,X
1000057,-9,X
1000057,-10,0
1000057,-11,X
1000057,-12,0
1000057,-13,X
1000057,-14,1
1000057,-15,X
1000057,-16,0
1000057,-17,X
1000057,-18,C
1000057,-19,C
1000058,0,0
1000058,-1,X
1000058,-2,0
1000058,-3,C
1000058,-4,C
1000058,-5,2
1000058,-6,0
1000058,-7,C
1000058,-8,X
1000058,-9,C
1000058,-10,C
1000058,-11,X
1000059,0,X
1000059,-1,X
1000059,-2,X
1000059,-3,X
1000059,-4,1
1000059,-5,0
1000059,-6,0
1000059,-7,C
1000059,-8,C
1000059,-9,C
1000059,-10,5
1000059,-11,X
1000059,-12,C
1000059,-13,X
1000059,-14,X
1000059,-15,0
1000059,-16,C
1000059,-17,X
1000059,-18,C
1000059,-19,X
1000059,-20,C
1000059,-21,C
1000059,-22,C
1000060,0,4
1000060,-1,C
1000060,-2,X
1000060,-3,1
1000060,-4,X
1000060,-5,0
1000060,-6,C
1000060,-7,5
1000060,-8,C
1000060,-9,1
1000060,-10,4
1000060,-11,C
1000060,-12,0
1000060,-13,C
1000060,-14,0
1000060,-15,X
1000060,-16,C
1000060,-17,2
1000060,-18,0
1000060,-19,C
1000060,-20,X
1000060,-21,X
1000060,-22,0
1000061,0,X
1000061,-1,C
1000061,-2,X
1000061,-3,C
1000061,-4,X
1000061,-5,C
1000061,-6,X
1000061,-7,0
1000061,-8,X
1000061,-9,X
1000061,-10,X
1000061,-11,C
1000061,-12,C
1000061,-13,0
1000061,-14,0
1000062,0,C
1000062,-1,C
1000062,-2,0
1000062,-3,X
1000062,-4,C
1000062,-5,X
1000062,-6,0
1000062,-7,C
1000062,-8,C
1000063,0,5
1000063,-1,X
1000063,-2,X
1000063,-3,C
1000063,-4,C
1000063,-5,C
1000063,-6,C
1000063,-7,C
1000063,-8,X
1000063,-9,1
1000063,-10,X
1000063,-11,0
1000063,-12,X
1000063,-13,X
1000063,-14,C
1000063,-15,C
1000063,-16,0
1000063,-17,5
1000063,-18,0
1000063,-19,C
1000063,-20,C
1000063,-21,C
1000063,-22,C
1000064,0,1
1000064,-1,C
1000064,-2,0
1000064,-3,0
1000064,-4,C
1000064,-5,C
1000064,-6,C
1000064,-7,C
1000064,-8,X
1000064,-9,X
1000064,-10,C
1000064,-11,3
1000064,-12,X
1000064,-13,0
1000064,-14,X
1000065,0,0
1000065,-1,X
1000065,-2,C
1000065,-3,C
1000065,-4,C
1000065,-5,C
1000065,-6,1
1000065,-7,X
1000065,-8,X
1000065,-9,X
1000065,-10,0
1000065,-11,C
1000065,-12,C
1000065,-13,X
1000065,-14,C
1000065,-15,X
1000065,-16,2
1000065,-17,C
1000065,-18,0
1000065,-19,C
1000065,-20,X
1000066,0,C
1000066,-1,0
1000066,-2,2
1000066,-3,C
1000066,-4,X
1000066,-5,C
1000066,-6,X
1000066,-7,C
1000066,-8,0
1000066,-9,X
1000066,-10,C
1000066,-11,0
1000066,-12,X
1000066,-13,X
1000066,-14,X
1000066,-15,3
1000066,-16,C
1000066,-17,2
1000066,-18,C
1000066,-19,C
1000066,-20,4
1000066,-21,0
1000067,0,0
1000067,-1,X
1000067,-2,C
1000067,-3,C
1000067,-4,C
1000067,-5,X
1000067,-6,X
1000067,-7,X
1000067,-8,X
1000068,0,C
1000068,-1,0
1000068,-2,C
1000068,-3,0
1000068,-4,C
1000068,-5,X
1000068,-6,0
1000068,-7,1
1000068,-8,0
1000068,-9,X
1000068,-10,0
1000068,-11,0
1000068,-12,X
1000068,-13,0
1000068,-14,C
1000068,-15,0
1000068,-16,1
1000068,-17,1
1000068,-18,5
1000068,-19,C
1000068,-20,C
1000069,0,0
1000069,-1,C
1000069,-2,C
1000069,-3,C
1000069,-4,3
1000069,-5,C
1000069,-6,C
1000069,-7,0
1000069,-8,0
1000069,-9,1
1000069,-10,0
1000069,-11,C
1000069,-12,C
1000069,-13,X
1000069,-14,C
1000069,-15,C
1000069,-16,0
1000069,-17,X
1000069,-18,C
1000069,-19,X
1000070,0,0
1000070,-1,X
1000070,-2,C
1000070,-3,C
1000070,-4,X
1000070,-5,C
1000070,-6,C
1000070,-7,X
1000070,-8,X
1000070,-9,C
1000070,-10,C
1000070,-11,0
1000070,-12,C
1000070,-13,X
1000070,-14,X
1000070,-15,C
1000070,-16,0
1000070,-17,C
1000070,-18,X
1000070,-19,C
1000071,0,X
1000071,-1,C
1000071,-2,C
1000071,-3,C
1000071,-4,0
1000071,-5,4
1000071,-6,C
1000071,-7,X
1000071,-8,X
1000071,-9,C
1000071,-10,X
1000071,-11,X
1000071,-12,X
1000071,-13,C
1000071,-14,C
1000071,-15,2
1000071,-16,1
1000071,-17,C
1000071,-18,X
1000072,0,C
1000072,-1,C
1000072,-2,C
1000072,-3,5
1000072,-4,C
1000072,-5,X
1000072,-6,C
1000072,-7,2
1000072,-8,C
1000072,-9,1
1000072,-10,C
1000073,0,C
1000073,-1,1
1000073,-2,1
1000073,-3,0
1000073,-4,2
1000073,-5,C
1000073,-6,X
1000073,-7,0
1000073,-8,4
1000073,-9,1
1000074,0,X
1000074,-1,1
1000074,-2,1
1000075,0,0
1000075,-1,X
1000075,-2,X
1000075,-3,C
1000076,0,1
1000076,-1,4
1000076,-2,C
1000076,-3,C
1000076,-4,C
1000076,-5,X
1000076,-6,X
1000076,-7,2
1000076,-8,1
1000076,-9,2
1000076,-10,2
1000076,-11,0
1000076,-12,0
1000076,-13,X
1000076,-14,C
1000076,-15,X
1000077,0,0
1000077,-1,X
1000077,-2,X
1000077,-3,3
1000077,-4,1
1000077,-5,C
1000077,-6,2
1000077,-7,C
1000077,-8,C
1000077,-9,X
1000077,-10,0
1000077,-11,C
1000077,-12,C
1000077,-13,0
1000077,-14,4
1000077,-15,X
1000078,0,0
1000078,-1,X
1000078,-2,2
1000078,-3,0
1000078,-4,C
1000078,-5,0
1000078,-6,X
1000078,-7,C
1000078,-8,X
1000078,-9,X
1000078,-10,X
1000078,-11,X
1000079,0,C
1000079,-1,X
1000079,-2,C
1000079,-3,X
1000079,-4,C
1000079,-5,C
1000079,-6,X
1000080,0,C
1000080,-1,X
1000080,-2,C
1000080,-3,C
1000080,-4,2
1000081,0,0
1000081,-1,C
1000081,-2,0
1000081,-3,1
1000081,-4,C
1000081,-5,4
1000081,-6,X
1000081,-7,C
1000081,-8,C
1000081,-9,C
1000082,0,C
1000082,-1,C
1000082,-2,X
1000082,-3,1
1000082,-4,C
1000082,-5,C
1000082,-6,C
1000082,-7,C
1000082,-8,X
1000082,-9,C
1000083,0,3
1000083,-1,1
1000083,-2,X
1000083,-3,C
1000083,-4,X
1000083,-5,1
1000083,-6,1
1000083,-7,X
1000083,-8,X
1000083,-9,0
1000083,-10,X
1000083,-11,C
1000083,-12,0
1000083,-13,0
1000084,0,X
1000084,-1,X
1000084,-2,0
1000084,-3,0
1000084,-4,C
1000084,-5,C
1000084,-6,0
1000084,-7,C
1000085,0,1
1000085,-1,5
1000085,-2,X
1000085,-3,C
1000085,-4,X
1000085,-5,C
1000085,-6,3
1000085,-7,C
1000085,-8,2
1000085,-9,3
1000085,-10,1
1000085,-11,C
1000085,-12,0
1000085,-13,X
1000085,-14,1
1000085,-15,C
1000085,-16,X
1000085,-17,0
1000085,-18,C
1000086,0,X
1000086,-1,C
1000086,-2,C
1000086,-3,X
1000086,-4,C
1000086,-5,X
1000086,-6,C
1000086,-7,1
1000086,-8,C
1000086,-9,0
1000086,-10,X
1000086,-11,X
1000086,-12,1
1000086,-13,0
1000086,-14,C
1000086,-15,1
1000086,-16,C
1000086,-17,C
1000086,-18,X
1000086,-19,1
1000086,-20,X
1000086,-21,0
1000086,-22,1
1000086,-23,0
1000087,0,C
1000087,-1,C
1000087,-2,X
1000087,-3,0
1000087,-4,1
1000087,-5,C
1000087,-6,0
1000087,-7,2
1000087,-8,C
1000087,-9,1
1000087,-10,C
1000087,-11,X
1000087,-12,X
1000087,-13,X
1000088,0,0
1000088,-1,C
1000088,-2,5
1000088,-3,0
1000088,-4,C
1000088,-5,0
1000088,-6,X
1000088,-7,X
1000088,-8,X
1000088,-9,C
1000088,-10,5
1000088,-11,X
1000088,-12,X
1000088,-13,X
1000088,-14,X
1000088,-15,X
1000088,-16,C
1000088,-17,X
1000088,-18,C
1000088,-19,0
1000088,-20,0
1000089,0,X
1000089,-1,C
1000089,-2,X
1000089,-3,1
1000089,-4,C
1000090,0,C
1000090,-1,1
1000090,-2,C
1000090,-3,1
1000090,-4,4
1000090,-5,C
1000090,-6,C
1000090,-7,C
1000090,-8,3
1000090,-9,X
1000090,-10,0
1000091,0,0
1000091,-1,0
1000091,-2,C
1000092,0,C
1000092,-1,1
1000092,-2,X
1000092,-3,C
1000092,-4,C
1000092,-5,C
1000092,-6,C
1000092,-7,0
1000092,-8,C
1000092,-9,4
1000092,-10,0
1000092,-11,C
1000092,-12,X
1000092,-13,X
1000093,0,C
1000093,-1,C
1000093,-2,X
1000093,-3,C
1000093,-4,C
1000093,-5,C
1000093,-6,C
1000093,-7,X
1000093,-8,0
1000093,-9,C
1000093,-10,C
1000093,-11,1
1000093,-12,C
1000093,-13,C
1000093,-14,X
1000093,-15,X
1000093,-16,C
1000093,-17,C
1000093,-18,X
1000094,0,X
1000094,-1,X
1000094,-2,C
1000094,-3,C
1000094,-4,C
1000094,-5,0
1000094,-6,C
1000094,-7,X
1000094,-8,0
1000094,-9,C
1000094,-10,X
1000094,-11,0
1000094,-12,0
1000094,-13,C
1000094,-14,X
1000094,-15,C
1000094,-16,0
1000094,-17,X
1000094,-18,C
1000094,-19,C
1000094,-20,C
1000094,-21,5
1000095,0,X
1000095,-1,3
1000095,-2,1
1000095,-3,C
1000095,-4,0
1000095,-5,0
1000095,-6,C
1000095,-7,C
1000095,-8,1
1000095,-9,X
1000095,-10,0
1000095,-11,X
1000095,-12,C
1000095,-13,C
1000095,-14,X
1000095,-15,C
1000095,-16,X
1000095,-17,C
1000095,-18,5
1000095,-19,0
1000095,-20,C
1000095,-21,C
1000095,-22,X
1000095,-23,C
1000096,0,0
1000096,-1,X
1000096,-2,X
1000096,-3,X
1000096,-4,C
1000096,-5,0
1000096,-6,0
1000096,-7,X
1000096,-8,X
1000096,-9,X
1000096,-10,X
1000096,-11,X
1000096,-12,C
1000096,-13,0
1000096,-14,C
1000096,-15,C
1000096,-16,X
1000096,-17,C
1000096,-18,0
1000096,-19,C
1000096,-20,1
1000096,-21,0
1000096,-22,0
1000096,-23,C
1000097,0,C
1000097,-1,C
1000097,-2,C
1000097,-3,X
1000097,-4,C
1000097,-5,C
1000097,-6,X
1000097,-7,X
1000097,-8,C
1000097,-9,X
1000097,-10,X
1000097,-11,C
1000097,-12,C
1000097,-13,0
1000098,0,1
1000098,-1,0
1000098,-2,C
1000098,-3,2
1000098,-4,C
1000098,-5,0
1000098,-6,X
1000098,-7,X
1000098,-8,X
1000098,-9,C
1000098,-10,C
1000098,-11,X
1000098,-12,1
1000098,-13,C
1000098,-14,C
1000098,-15,C
1000098,-16,X
1000098,-17,C
1000098,-18,C
1000098,-19,C
1000099,0,X
1000099,-1,C
1000099,-2,C
1000099,-3,1
1000100,0,X
1000100,-1,0
1000100,-2,C
1000100,-3,C
1000100,-4,X
1000100,-5,X
1000100,-6,X
1000100,-7,C
1000100,-8,X
1000100,-9,2
1000100,-10,2
1000100,-11,C
1000101,0,5
1000101,-1,C
1000101,-2,C
1000101,-3,C
1000101,-4,C
1000101,-5,C
1000101,-6,0
1000101,-7,0
1000101,-8,C
1000101,-9,C
1000101,-10,C
1000101,-11,X
1000101,-12,0
1000101,-13,0
1000101,-14,0
1000102,0,C
1000102,-1,C
1000102,-2,X
1000102,-3,1
1000102,-4,C
1000103,0,X
1000103,-1,C
1000103,-2,C
1000103,-3,C
1000103,-4,X
1000103,-5,C
1000103,-6,C
1000103,-7,C
1000103,-8,C
1000103,-9,0
1000103,-10,C
1000103,-11,0
1000103,-12,1
1000103,-13,0
1000103,-14,0
1000103,-15,X
1000103,-16,X
1000103,-17,C
1000103,-18,X
1000104,0,C
1000104,-1,C
1000104,-2,X
1000104,-3,X
1000104,-4,X
1000104,-5,C
1000104,-6,C
1000105,0,X
1000105,-1,0
1000105,-2,C
1000105,-3,2
1000105,-4,C
1000105,-5,C
1000105,-6,X
1000105,-7,0
1000105,-8,X
1000105,-9,C
1000105,-10,0
1000105,-11,X
1000105,-12,0
1000106,0,0
1000106,-1,X
1000106,-2,C
1000106,-3,C
1000106,-4,C
1000106,-5,C
1000106,-6,X
1000106,-7,X
1000106,-8,C
1000106,-9,C
1000106,-10,C
1000106,-11,X
1000106,-12,0
1000106,-13,C
1000106,-14,X
1000106,-15,X
1000106,-16,C
1000106,-17,X
1000106,-18,X
1000107,0,0
1000107,-1,X
1000107,-2,X
1000107,-3,C
1000107,-4,0
1000107,-5,0
1000107,-6,0
1000107,-7,5
1000107,-8,C
1000107,-9,3
1000107,-10,C
1000107,-11,C
1000108,0,1
1000108,-1,C
1000108,-2,0
1000108,-3,X
1000108,-4,X
1000108,-5,C
1000108,-6,C
1000108,-7,C
1000108,-8,X
1000108,-9,X
1000108,-10,0
1000108,-11,1
1000108,-12,C
1000108,-13,C
1000108,-14,5
1000108,-15,1
1000108,-16,C
1000108,-17,C
1000108,-18,3
1000108,-19,C
1000108,-20,C
1000108,-21,C
1000108,-22,C
1000108,-23,1
1000109,0,C
1000109,-1,X
1000109,-2,C
1000109,-3,C
1000109,-4,0
1000109,-5,0
1000109,-6,0
1000109,-7,0
1000109,-8,C
1000109,-9,3
1000109,-10,C
1000109,-11,C
1000109,-12,X
1000109,-13,C
1000109,-14,0
1000109,-15,C
1000109,-16,0
1000109,-17,0
1000110,0,C
1000110,-1,1
1000110,-2,0
1000110,-3,X
1000110,-4,0
1000110,-5,0
1000110,-6,C
1000110,-7,1
1000110,-8,3
1000110,-9,C
1000110,-10,C
1000110,-11,C
1000110,-12,X
1000110,-13,C
1000110,-14,X
1000110,-15,C
1000111,0,0
1000111,-1,X
1000111,-2,C
1000111,-3,X
1000111,-4,0
1000111,-5,1
1000112,0,C
1000112,-1,1
1000112,-2,0
1000112,-3,C
1000112,-4,X
1000113,0,0
1000113,-1,2
1000113,-2,C
1000113,-3,1
1000113,-4,0
1000113,-5,C
1000113,-6,X
1000113,-7,C
1000113,-8,C
1000113,-9,X
1000114,0,C
1000114,-1,5
1000114,-2,0
1000114,-3,5
1000114,-4,0
1000114,-5,0
1000114,-6,0
1000114,-7,1
1000114,-8,1
1000114,-9,0
1000114,-10,X
1000114,-11,C
