ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
1000056,F,N,Y,1,164000.0,State servant,Secondary / secondary special,Married,House / apartment,-16744,-11399,1,1,0,1,Medicine staff,2
1000057,M,N,N,2,57700.0,Commercial associate,Lower secondary,Married,Municipal apartment,-11814,-12799,1,0,0,0,Drivers,4
1000058,M,N,Y,0,81300.0,Working,Higher education,Married,House / apartment,-19481,-679,1,1,1,1,Medicine staff,2
1000059,M,N,Y,0,111200.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-8330,-7099,1,0,1,1,Managers,2
1000060,M,N,Y,0,288400.0,Working,Higher education,Civil marriage,House / apartment,-17543,-14002,1,0,0,0,Cleaning staff,2
1000061,M,N,N,0,77900.0,Pensioner,Academic degree,Married,With parents,-16716,365243,1,1,1,0,Accountants,1
1000062,M,Y,N,2,134100.0,Pensioner,Higher education,Married,House / apartment,-14359,365243,1,0,0,0,Drivers,4
1000063,F,N,Y,2,178100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21885,-6022,1,0,0,0,Cooking staff,4
1000064,M,N,Y,4,279900.0,Pensioner,Secondary / secondary special,Married,Co-op apartment,-18696,365243,1,0,1,0,Sales staff,6
1000065,M,Y,N,1,196600.0,Working,Higher education,Single / not married,House / apartment,-7985,-5036,1,0,1,0,Drivers,3
1000066,F,N,Y,1,230300.0,Pensioner,Higher education,Single / not married,House / apartment,-10440,365243,1,0,1,0,Security staff,3
1000067,M,N,Y,0,205300.0,Working,Higher education,Married,Municipal apartment,-21926,-7309,1,0,1,0,Accountants,2
1000068,F,Y,N,1,72800.0,Working,Secondary / secondary special,Married,With parents,-13380,-14104,1,1,0,0,Medicine staff,2
1000069,M,Y,N,1,159500.0,State servant,Incomplete higher,Married,House / apartment,-18194,-9300,1,0,0,0,Security staff,2
1000070,F,Y,Y,2,203700.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12948,-2478,1,0,1,0,Laborers,4
1000071,F,N,Y,2,82600.0,State servant,Higher education,Married,House / apartment,-7729,-2140,1,1,0,0,Accountants,3
1000072,M,Y,Y,3,99700.0,Working,Secondary / secondary special,Widow,House / apartment,-19965,-3501,1,0,1,0,Other,5
1000073,M,Y,Y,2,89200.0,Working,Lower secondary,Widow,House / apartment,-19189,-11692,1,0,1,0,Cooking staff,4
1000074,F,N,N,2,196100.0,Working,Higher education,Civil marriage,House / apartment,-18866,-8350,1,0,0,0,Medicine staff,3
1000075,F,Y,Y,0,128700.0,Commercial associate,Higher education,Married,House / apartment,-21638,-5683,1,0,0,0,Medicine staff,2
1000076,F,Y,N,2,113500.0,Working,Incomplete higher,Married,House / apartment,-10384,-9086,1,0,0,0,Security staff,3
1000077,F,Y,Y,1,70200.0,Working,Incomplete higher,Married,House / apartment,-20101,-9987,1,1,0,0,High skill tech staff,2
1000078,M,N,Y,0,128800.0,Working,Secondary / secondary special,Widow,House / apartment,-16882,-4213,1,0,0,0,Accountants,2
1000079,M,N,Y,0,100300.0,Pensioner,Incomplete higher,Married,House / apartment,-20384,365243,1,0,1,0,Medicine staff,1
1000080,M,Y,N,1,150500.0,Working,Higher education,Single / not married,House / apartment,-20487,-7725,1,1,0,0,Security staff,2
1000081,F,N,Y,0,75200.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22791,365243,1,0,0,0,Core staff,1
1000082,F,N,Y,0,145600.0,Working,Secondary / secondary special,Civil marriage,With parents,-18395,-3504,1,0,0,0,Managers,2
1000083,M,Y,Y,1,107000.0,Working,Secondary / secondary special,Married,Municipal apartment,-14360,-7360,1,0,0,0,Managers,3
1000084,M,Y,Y,2,71300.0,Working,Higher education,Married,House / apartment,-13707,-11871,1,0,0,0,Managers,3
1000085,M,Y,Y,2,68600.0,State servant,Higher education,Married,House / apartment,-20141,-256,1,1,0,0,Laborers,4
1000086,M,N,Y,0,74000.0,Working,Secondary / secondary special,Married,With parents,-20081,-1859,1,0,0,1,Cleaning staff,2
1000087,F,N,Y,0,120200.0,Working,Higher education,Widow,Rented apartment,-18888,-2046,1,1,0,0,Core staff,1
1000088,F,Y,Y,0,141600.0,Pensioner,Higher education,Separated,House / apartment,-21629,365243,1,1,0,0,Security staff,1
1000089,F,N,Y,0,152500.0,Working,Higher education,Married,House / apartment,-10214,-2746,1,0,1,1,Medicine staff,1
1000090,F,Y,Y,0,155400.0,Commercial associate,Incomplete higher,Married,House / apartment,-11296,-7399,1,1,0,0,Cooking staff,2
1000091,M,N,Y,3,91200.0,Working,Higher education,Married,House / apartment,-12985,-2813,1,0,0,0,Laborers,5
1000092,F,N,Y,1,226200.0,Working,Secondary / secondary special,Married,Rented apartment,-8878,-8612,1,1,0,0,Medicine staff,3
1000093,F,Y,Y,0,106800.0,Working,Higher education,Married,With parents,-20711,-4473,1,0,0,0,Other,1
1000094,F,N,N,0,166900.0,Working,Lower secondary,Married,House / apartment,-8595,-3763,1,0,0,0,Cooking staff,1
1000095,F,Y,Y,0,122800.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-17700,365243,1,0,1,0,Sales staff,2
1000096,F,N,Y,0,160800.0,Pensioner,Lower secondary,Widow,House / apartment,-16157,365243,1,0,0,1,Managers,1
1000097,F,Y,Y,0,119700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11162,-7925,1,0,0,0,Medicine staff,2
1000098,F,N,N,3,162200.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-19927,-12799,1,0,0,0,Other,4
1000099,M,Y,N,0,132800.0,Working,Higher education,Married,House / apartment,-18610,-2689,1,0,1,0,Medicine staff,1
1000100,M,N,N,0,200200.0,Working,Higher education,Single / not married,House / apartment,-13095,-1044,1,0,0,0,Cleaning staff,1
1000101,M,Y,Y,0,88500.0,Commercial associate,Higher education,Married,House / apartment,-11174,-4892,1,0,0,1,Sales staff,2
1000102,F,N,Y,1,55000.0,Commercial associate,Secondary / secondary special,Married,With parents,-17710,-9291,1,0,0,0,Managers,3
1000103,M,Y,N,0,81900.0,Working,Higher education,Married,House / apartment,-7716,-13649,1,0,1,0,Sales staff,1
1000104,F,N,N,0,227400.0,Commercial associate,Higher education,Married,House / apartment,-17973,-8168,1,0,1,0,Medicine staff,1
1000105,F,Y,Y,0,123300.0,Working,Secondary / secondary special,Separated,House / apartment,-15117,-7839,1,0,0,1,Medicine staff,2
1000106,M,Y,N,1,139500.0,Pensioner,Higher education,Widow,House / apartment,-19966,365243,1,0,1,0,Medicine staff,2
1000107,M,N,N,0,78700.0,Pensioner,Higher education,Single / not married,House / apartment,-22525,365243,1,0,0,1,Other,2
1000108,F,Y,Y,0,137700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13219,-8675,1,0,0,0,Laborers,2
1000109,M,Y,Y,0,79900.0,Working,Secondary / secondary special,Married,House / apartment,-8542,-14475,1,1,0,0,Drivers,2
1000110,M,N,Y,0,86000.0,Commercial associate,Secondary / secondary special,Married,With parents,-20381,-11576,1,0,0,0,Laborers,2
1000111,M,N,Y,0,109000.0,Pensioner,Higher education,Single / not married,House / apartment,-8189,365243,1,1,0,0,Security staff,2
1000112,M,Y,N,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-14630,-10759,1,0,1,1,Accountants,2
1000113,F,N,Y,0,175600.0,Working,Secondary / secondary special,Married,House / apartment,-17348,-11419,1,0,0,0,Laborers,2
1000114,F,N,N,0,178000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-20474,-6968,1,1,0,0,Security staff,1
1000115,F,Y,N,0,60200.0,Working,Secondary / secondary special,Married,House / apartment,-17545,-1204,1,0,1,0,High skill tech staff,1
1000116,F,N,Y,0,132800.0,Working,Secondary / secondary special,Married,Municipal apartment,-15708,-8143,1,0,0,0,Other,2
1000117,F,N,Y,0,120800.0,Working,Secondary / secondary special,Married,House / apartment,-15837,-12491,1,1,0,0,Security staff,1
1000118,M,N,N,2,61900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8728,-4848,1,0,0,0,Accountants,3
1000119,F,Y,N,1,134300.0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-9955,-7696,1,0,0,0,Accountants,3
1000120,F,N,N,2,117600.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-17564,-13588,1,0,0,0,Cleaning staff,4
1000121,F,Y,Y,2,172100.0,Working,Secondary / secondary special,Married,House / apartment,-15340,-8754,1,0,0,1,Accountants,4
1000122,F,Y,Y,3,138800.0,Commercial associate,Incomplete higher,Widow,House / apartment,-19065,-7046,1,0,0,0,Medicine staff,5
1000123,M,Y,Y,1,101200.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12482,-4028,1,0,1,0,Laborers,3
1000124,M,N,N,1,211700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7621,-3043,1,1,0,0,Cooking staff,3
1000125,M,N,Y,0,43900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12571,-11251,1,0,0,0,Managers,1
1000126,F,N,N,0,129000.0,Commercial associate,Academic degree,Married,Rented apartment,-12514,-11829,1,0,0,0,Other,2
1000127,F,N,Y,1,55200.0,Working,Higher education,Single / not married,House / apartment,-15898,-12712,1,0,1,0,Accountants,3
1000128,F,Y,N,4,84400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10434,-1851,1,0,1,0,Security staff,5
1000129,M,Y,N,0,173200.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-11131,-9771,1,0,0,0,Core staff,2
1000130,F,Y,Y,1,70500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-17979,-1356,1,0,0,0,High skill tech staff,3
1000131,M,Y,Y,0,65400.0,Working,Higher education,Separated,With parents,-14230,-7912,1,1,0,1,Core staff,2
1000132,M,N,Y,0,438400.0,State servant,Incomplete higher,Married,House / apartment,-8216,-13994,1,1,0,0,Managers,2
1000133,M,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-9430,-11172,1,0,1,0,Accountants,2
1000134,M,Y,Y,0,304100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12991,365243,1,1,0,0,Core staff,1
1000135,F,Y,Y,0,122300.0,Working,Secondary / secondary special,Married,With parents,-21973,-4026,1,0,0,0,Security staff,1
1000136,M,Y,Y,1,102500.0,Working,Academic degree,Married,House / apartment,-11601,-11324,1,1,0,0,High skill tech staff,3
1000137,F,N,N,2,176900.0,Commercial associate,Higher education,Married,House / apartment,-13653,-9031,1,0,0,0,Cleaning staff,4
1000138,F,N,Y,2,260000.0,Commercial associate,Incomplete higher,Married,House / apartment,-20447,-1043,1,0,1,0,Medicine staff,3
1000139,M,N,Y,0,75100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-7933,365243,1,0,0,0,Security staff,2
1000140,F,N,N,2,103200.0,Commercial associate,Higher education,Single / not married,House / apartment,-11748,-12343,1,0,0,0,Security staff,4
1000141,F,N,Y,0,203500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-20234,-687,1,0,0,0,Sales staff,2
1000142,M,Y,N,0,153900.0,State servant,Incomplete higher,Separated,House / apartment,-9023,-5449,1,0,0,1,Other,2
1000143,F,Y,N,1,231200.0,Working,Secondary / secondary special,Married,House / apartment,-8425,-9102,1,0,0,0,Security staff,3
1000144,M,N,Y,0,172400.0,Working,Higher education,Single / not married,House / apartment,-19516,-8395,1,0,1,0,Other,2
1000145,M,N,Y,0,329100.0,Working,Secondary / secondary special,Widow,House / apartment,-19348,-9655,1,0,1,0,Managers,1
1000146,M,Y,Y,0,145700.0,Working,Higher education,Separated,House / apartment,-19534,-5303,1,1,1,0,Medicine staff,2
1000147,F,N,Y,1,148900.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-8939,-3117,1,1,0,0,Other,3
1000148,F,N,Y,0,156500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12208,-4536,1,0,1,0,Cleaning staff,1
1000149,M,N,Y,1,124100.0,Working,Secondary / secondary special,Married,With parents,-7398,-13356,1,1,0,0,High skill tech staff,3
1000150,M,N,Y,1,203600.0,Working,Higher education,Married,Rented apartment,-19306,-2601,1,0,0,0,Laborers,2
1000151,F,N,Y,1,150000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13881,-11709,1,0,0,0,Other,3
1000152,M,N,Y,2,197600.0,Working,Secondary / secondary special,Married,House / apartment,-18011,-2055,1,0,1,1,Medicine staff,4
1000153,M,Y,Y,0,213700.0,Working,Secondary / secondary special,Widow,House / apartment,-17552,-12115,1,1,0,0,Other,1
1000154,F,Y,N,0,165100.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-11630,-13,1,0,0,0,Managers,1
1000155,F,Y,Y,0,171200.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,-14550,365243,1,0,1,0,Cooking staff,2
1000156,M,Y,Y,0,80400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11638,-793,1,0,1,0,Laborers,2
1000157,F,N,Y,1,101200.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-9059,-2149,1,0,1,0,Managers,3
1000158,F,N,Y,0,203100.0,Working,Secondary / secondary special,Married,Office apartment,-21820,-12788,1,1,0,0,Sales staff,1
1000159,M,Y,Y,0,271500.0,State servant,Higher education,Married,House / apartment,-20273,-13608,1,0,0,0,Core staff,2
1000160,F,N,Y,2,50500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22415,-12012,1,0,0,0,Cooking staff,4
1000161,M,Y,Y,1,100300.0,Student,Higher education,Civil marriage,House / apartment,-12295,-5148,1,0,0,0,Medicine staff,3
1000162,F,Y,Y,1,134800.0,State servant,Secondary / secondary special,Widow,House / apartment,-17754,-6846,1,0,0,0,Cleaning staff,3
1000163,F,Y,Y,2,85900.0,Pensioner,Lower secondary,Married,House / apartment,-8373,365243,1,0,0,0,Cooking staff,4
1000164,F,Y,Y,2,88300.0,Working,Secondary / secondary special,Married,House / apartment,-11478,-12641,1,0,1,0,High skill tech staff,4
1000165,M,Y,Y,1,169000.0,Commercial associate,Higher education,Married,House / apartment,-13687,-5077,1,1,0,0,Medicine staff,3
1000166,F,N,Y,0,293800.0,Working,Secondary / secondary special,Married,Municipal apartment,-15716,-2028,1,0,0,0,Medicine staff,2
1000167,M,N,N,4,48200.0,State servant,Secondary / secondary special,Civil marriage,Rented apartment,-10337,-13785,1,1,0,0,Drivers,6
1000168,M,N,N,1,122400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23022,365243,1,0,0,0,Other,3
1000169,M,Y,Y,0,168000.0,State servant,Secondary / secondary special,Married,With parents,-21746,-4538,1,0,0,0,Core staff,2
1000170,F,Y,Y,0,196800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10574,-12590,1,0,0,0,Drivers,2
1000171,F,Y,Y,1,156300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23384,-11479,1,0,0,0,High skill tech staff,2
1000172,M,N,N,3,321500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-21607,-759,1,0,1,0,Cleaning staff,4
1000173,F,Y,Y,0,135200.0,Working,Secondary / secondary special,Married,House / apartment,-20191,-3860,1,0,1,0,Medicine staff,1
1000174,M,N,N,0,256800.0,Working,Secondary / secondary special,Married,House / apartment,-16957,-7518,1,0,0,0,Other,2
1000175,F,N,N,2,96500.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-20668,-1641,1,0,0,0,Cooking staff,3
1000176,M,N,N,2,137200.0,State servant,Higher education,Married,House / apartment,-22493,-7191,1,0,0,0,Core staff,4
1000177,F,N,Y,0,72700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13879,-1812,1,0,1,1,Accountants,1
1000178,M,Y,Y,0,209100.0,Pensioner,Higher education,Widow,House / apartment,-13797,365243,1,0,0,0,Security staff,1
1000179,F,Y,Y,1,125500.0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,-12886,365243,1,0,0,0,Cooking staff,3
1000180,M,Y,Y,0,159400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14304,-14343,1,0,1,1,Security staff,2
1000181,M,N,Y,2,113900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16161,-12963,1,0,0,0,Cooking staff,4
1000182,M,Y,N,0,178700.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-13372,-1825,1,0,0,0,Managers,2
1000183,F,Y,Y,0,162500.0,Working,Secondary / secondary special,Married,With parents,-14506,-3185,1,0,1,0,Cooking staff,2
1000184,F,N,Y,0,81000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-11392,-561,1,1,0,1,High skill tech staff,1
1000185,M,Y,Y,0,83400.0,Working,Secondary / secondary special,Married,House / apartment,-9380,-237,1,0,1,0,High skill tech staff,2
1000186,F,N,N,0,131400.0,Student,Higher education,Civil marriage,Municipal apartment,-21457,-5978,1,0,1,0,Accountants,1
1000187,F,N,N,0,185300.0,Working,Higher education,Married,With parents,-19362,-11325,1,0,1,0,Other,2
1000188,F,Y,Y,1,338200.0,Commercial associate,Higher education,Widow,With parents,-9043,-9052,1,0,1,0,Cooking staff,2
1000189,F,Y,Y,0,155000.0,Pensioner,Higher education,Married,House / apartment,-10549,365243,1,0,1,0,Accountants,2
1000190,M,Y,Y,2,220500.0,Commercial associate,Higher education,Married,House / apartment,-11779,-5833,1,0,0,1,Cooking staff,4
1000191,M,N,Y,0,59500.0,Commercial associate,Incomplete higher,Married,House / apartment,-15167,-7467,1,0,0,0,Core staff,2
1000192,F,N,Y,1,364600.0,Commercial associate,Higher education,Married,House / apartment,-15706,-2207,1,0,0,0,Drivers,2
1000193,F,N,N,0,180400.0,Working,Secondary / secondary special,Married,House / apartment,-20812,-5557,1,1,0,0,Laborers,1
1000194,F,N,Y,0,130000.0,Working,Secondary / secondary special,Married,With parents,-17936,-11664,1,0,0,0,Core staff,2
1000195,M,N,Y,1,122700.0,State servant,Secondary / secondary special,Married,House / apartment,-16175,-5003,1,0,1,0,High skill tech staff,2
1000196,M,Y,Y,1,76600.0,Working,Secondary / secondary special,Married,House / apartment,-13650,-2649,1,0,0,0,Drivers,3
1000197,F,Y,N,1,88400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15338,-5314,1,0,0,0,Medicine staff,3
1000198,F,N,Y,1,346400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13012,-4713,1,0,0,0,Other,2
1000199,F,Y,Y,1,81300.0,Working,Lower secondary,Married,House / apartment,-9776,-5578,1,0,0,0,Laborers,2
1000200,F,Y,N,0,80500.0,State servant,Secondary / secondary special,Married,House / apartment,-21440,-8262,1,0,0,0,Security staff,1
1000201,F,N,Y,2,93800.0,Pensioner,Secondary / secondary special,Married,With parents,-7851,365243,1,0,0,0,Managers,3
1000202,M,N,N,1,73200.0,Working,Secondary / secondary special,Married,With parents,-19669,-11108,1,1,0,0,Laborers,3
1000203,M,N,Y,4,134300.0,State servant,Higher education,Married,House / apartment,-17039,-11680,1,0,1,0,Other,6
1000204,F,N,N,2,229700.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-23058,365243,1,0,0,0,Cleaning staff,4
1000205,F,Y,Y,0,98200.0,Working,Secondary / secondary special,Married,House / apartment,-9345,-5615,1,1,0,1,Drivers,2
1000206,M,N,Y,0,67100.0,Commercial associate,Lower secondary,Married,Rented apartment,-19438,-6175,1,1,1,1,Cooking staff,1
1000207,M,Y,N,1,154200.0,Working,Higher education,Married,Rented apartment,-13915,-7845,1,0,1,0,Security staff,2
1000208,F,Y,Y,1,129600.0,Commercial associate,Higher education,Married,House / apartment,-19307,-1235,1,0,0,0,Accountants,3
1000209,M,N,Y,1,220000.0,Working,Lower secondary,Married,House / apartment,-12508,-4942,1,0,0,0,Sales staff,3
1000210,M,Y,Y,2,106200.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-7515,-462,1,0,1,0,Medicine staff,4
1000211,F,N,Y,0,117000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-23645,-12997,1,0,0,1,Other,2
